id,name,state,pop
1001,Autauga County,Alabama,55246
1003,Baldwin County,Alabama,195540
1005,Barbour County,Alabama,27076
1007,Bibb County,Alabama,22512
1009,Blount County,Alabama,57872
1011,Bullock County,Alabama,10639
1013,Butler County,Alabama,20265
1015,Calhoun County,Alabama,116736
1017,Chambers County,Alabama,34162
1019,Cherokee County,Alabama,26203
1021,Chilton County,Alabama,43951
1023,Choctaw County,Alabama,13426
1025,Clarke County,Alabama,25207
1027,Clay County,Alabama,13486
1029,Cleburne County,Alabama,14994
1031,Coffee County,Alabama,50938
1033,Colbert County,Alabama,54520
1035,Conecuh County,Alabama,12887
1037,Coosa County,Alabama,10898
1039,Covington County,Alabama,37886
1041,Crenshaw County,Alabama,13986
1043,Cullman County,Alabama,80811
1045,Dale County,Alabama,49884
1047,Dallas County,Alabama,41996
1049,DeKalb County,Alabama,71013
1051,Elmore County,Alabama,80902
1053,Escambia County,Alabama,37983
1055,Etowah County,Alabama,103931
1057,Fayette County,Alabama,16909
1059,Franklin County,Alabama,31532
1061,Geneva County,Alabama,26727
1063,Greene County,Alabama,8744
1065,Hale County,Alabama,15406
1067,Henry County,Alabama,17296
1069,Houston County,Alabama,103668
1071,Jackson County,Alabama,52951
1073,Jefferson County,Alabama,659479
1075,Lamar County,Alabama,14236
1077,Lauderdale County,Alabama,92797
1079,Lawrence County,Alabama,33587
1081,Lee County,Alabama,150933
1083,Limestone County,Alabama,88845
1085,Lowndes County,Alabama,10703
1087,Macon County,Alabama,19688
1089,Madison County,Alabama,346892
1091,Marengo County,Alabama,20155
1093,Marion County,Alabama,30334
1095,Marshall County,Alabama,94760
1097,Mobile County,Alabama,414079
1099,Monroe County,Alabama,22236
1101,Montgomery County,Alabama,226659
1103,Morgan County,Alabama,119787
1105,Perry County,Alabama,10020
1107,Pickens County,Alabama,19401
1109,Pike County,Alabama,33339
1111,Randolph County,Alabama,22727
1113,Russell County,Alabama,59585
1115,St. Clair County,Alabama,86308
1117,Shelby County,Alabama,204180
1119,Sumter County,Alabama,13361
1121,Talladega County,Alabama,81096
1123,Tallapoosa County,Alabama,41203
1125,Tuscaloosa County,Alabama,200821
1127,Walker County,Alabama,65998
1129,Washington County,Alabama,16877
1131,Wilcox County,Alabama,11307
1133,Winston County,Alabama,24146
2013,Aleutians East Borough[4],Alaska,3092
2016,Aleutians West Census Area[5],Alaska,5511
2020,"Anchorage, Municipality of[6]",Alaska,300950
2050,Bethel Census Area[5],Alaska,17758
2060,Bristol Bay Borough[4],Alaska,960
2068,Denali Borough[4],Alaska,1867
2070,Dillingham Census Area[5],Alaska,5010
2090,Fairbanks North Star Borough[4],Alaska,100436
2100,Haines Borough[4],Alaska,2592
2105,Hoonah–Angoon Census Area[5],Alaska,2145
2110,"Juneau, City and Borough of[7]",Alaska,32660
2122,Kenai Peninsula Borough[4],Alaska,57147
2130,Ketchikan Gateway Borough[4],Alaska,13729
2150,Kodiak Island Borough[4],Alaska,14135
2164,Lake and Peninsula Borough[4],Alaska,1648
2170,Matanuska-Susitna Borough[4],Alaska,95192
2180,Nome Census Area[5],Alaska,9892
2185,North Slope Borough[4],Alaska,9686
2188,Northwest Arctic Borough[4],Alaska,7685
2195,Petersburg Borough[4],Alaska,3774
2198,Prince of Wales – Hyder Census Area[5],Alaska,5786
2220,"Sitka, City and Borough of[8]",Alaska,9020
2230,"Skagway, Municipality of[4]",Alaska,995
2240,Southeast Fairbanks Census Area[5],Alaska,6985
2261,Valdez–Cordova Census Area[5],Alaska,9763
2270,Kusilvak Census Area[5],Alaska,7977
2275,"Wrangell, City and Borough of[4]",Alaska,2400
2282,"Yakutat, City and Borough of[9]",Alaska,642
2290,Yukon–Koyukuk Census Area[5],Alaska,5695
4001,Apache County,Arizona,71934
4003,Cochise County,Arizona,129473
4005,Coconino County,Arizona,136539
4007,Gila County,Arizona,53053
4009,Graham County,Arizona,37482
4011,Greenlee County,Arizona,9049
4012,La Paz County,Arizona,20324
4013,Maricopa County,Arizona,4009412
4015,Mohave County,Arizona,203030
4017,Navajo County,Arizona,107322
4019,Pima County,Arizona,996554
4021,Pinal County,Arizona,389350
4023,Santa Cruz County,Arizona,46768
4025,Yavapai County,Arizona,215133
4027,Yuma County,Arizona,201201
5001,Arkansas County,Arkansas,18777
5003,Ashley County,Arkansas,21283
5005,Baxter County,Arkansas,40957
5007,Benton County,Arkansas,237297
5009,Boone County,Arkansas,37396
5011,Bradley County,Arkansas,11249
5013,Calhoun County,Arkansas,5241
5015,Carroll County,Arkansas,27808
5017,Chicot County,Arkansas,11335
5019,Clark County,Arkansas,22743
5021,Clay County,Arkansas,15402
5023,Cleburne County,Arkansas,25686
5025,Cleveland County,Arkansas,8593
5027,Columbia County,Arkansas,24164
5029,Conway County,Arkansas,21245
5031,Craighead County,Arkansas,101488
5033,Crawford County,Arkansas,61640
5035,Crittenden County,Arkansas,49746
5037,Cross County,Arkansas,17548
5039,Dallas County,Arkansas,7933
5041,Desha County,Arkansas,12505
5043,Drew County,Arkansas,18785
5045,Faulkner County,Arkansas,119580
5047,Franklin County,Arkansas,18034
5049,Fulton County,Arkansas,12304
5051,Garland County,Arkansas,97173
5053,Grant County,Arkansas,18019
5055,Greene County,Arkansas,43097
5057,Hempstead County,Arkansas,22474
5059,Hot Spring County,Arkansas,33500
5061,Howard County,Arkansas,13581
5063,Independence County,Arkansas,36997
5065,Izard County,Arkansas,13368
5067,Jackson County,Arkansas,17615
5069,Jefferson County,Arkansas,73191
5071,Johnson County,Arkansas,25846
5073,Lafayette County,Arkansas,7252
5075,Lawrence County,Arkansas,17011
5077,Lee County,Arkansas,10015
5079,Lincoln County,Arkansas,14031
5081,Little River County,Arkansas,12730
5083,Logan County,Arkansas,22082
5085,Lonoke County,Arkansas,70753
5087,Madison County,Arkansas,15701
5089,Marion County,Arkansas,16430
5091,Miller County,Arkansas,43402
5093,Mississippi County,Arkansas,44765
5095,Monroe County,Arkansas,7682
5097,Montgomery County,Arkansas,9226
5099,Nevada County,Arkansas,8799
5101,Newton County,Arkansas,8064
5103,Ouachita County,Arkansas,25002
5105,Perry County,Arkansas,10345
5107,Phillips County,Arkansas,20399
5109,Pike County,Arkansas,11177
5111,Poinsett County,Arkansas,24145
5113,Polk County,Arkansas,20406
5115,Pope County,Arkansas,62547
5117,Prairie County,Arkansas,8374
5119,Pulaski County,Arkansas,391284
5121,Randolph County,Arkansas,17692
5123,St. Francis County,Arkansas,27260
5125,Saline County,Arkansas,114404
5127,Scott County,Arkansas,10950
5129,Searcy County,Arkansas,8023
5131,Sebastian County,Arkansas,127342
5133,Sevier County,Arkansas,17366
5135,Sharp County,Arkansas,17049
5137,Stone County,Arkansas,12581
5139,Union County,Arkansas,40694
5141,Van Buren County,Arkansas,16932
5143,Washington County,Arkansas,216410
5145,White County,Arkansas,78483
5147,Woodruff County,Arkansas,7072
5149,Yell County,Arkansas,21893
6001,Alameda County,California,1578891
6003,Alpine County,California,1159
6005,Amador County,California,36519
6007,Butte County,California,222090
6009,Calaveras County,California,44515
6011,Colusa County,California,21358
6013,Contra Costa County,California,1094205
6015,Del Norte County,California,27873
6017,El Dorado County,California,181737
6019,Fresno County,California,955272
6021,Glenn County,California,27940
6023,Humboldt County,California,134493
6025,Imperial County,California,176584
6027,Inyo County,California,18467
6029,Kern County,California,864124
6031,Kings County,California,150960
6033,Lake County,California,63860
6035,Lassen County,California,32163
6037,Los Angeles County,California,10017068
6039,Madera County,California,152389
6041,Marin County,California,258365
6043,Mariposa County,California,17755
6045,Mendocino County,California,87192
6047,Merced County,California,263228
6049,Modoc County,California,9147
6051,Mono County,California,14074
6053,Monterey County,California,428826
6055,Napa County,California,140326
6057,Nevada County,California,98200
6059,Orange County,California,3114363
6061,Placer County,California,367309
6063,Plumas County,California,18859
6065,Riverside County,California,2292507
6067,Sacramento County,California,1462131
6069,San Benito County,California,57600
6071,San Bernardino County,California,2088371
6073,San Diego County,California,3211252
6075,"San Francisco, City and County of[10]",California,837442
6077,San Joaquin County,California,704379
6079,San Luis Obispo County,California,276443
6081,San Mateo County,California,747373
6083,Santa Barbara County,California,435697
6085,Santa Clara County,California,1862041
6087,Santa Cruz County,California,269419
6089,Shasta County,California,178980
6091,Sierra County,California,3047
6093,Siskiyou County,California,43799
6095,Solano County,California,424788
6097,Sonoma County,California,495025
6099,Stanislaus County,California,525491
6101,Sutter County,California,95350
6103,Tehama County,California,63057
6105,Trinity County,California,13448
6107,Tulare County,California,454143
6109,Tuolumne County,California,53874
6111,Ventura County,California,839620
6113,Yolo County,California,204593
6115,Yuba County,California,73340
8001,Adams County,Colorado,469193
8003,Alamosa County,Colorado,16253
8005,Arapahoe County,Colorado,607070
8007,Archuleta County,Colorado,12194
8009,Baca County,Colorado,3682
8011,Bent County,Colorado,5688
8013,Boulder County,Colorado,310048
8014,"Broomfield, City and County of[11]",Colorado,59471
8015,Chaffee County,Colorado,18510
8017,Cheyenne County,Colorado,1890
8019,Clear Creek County,Colorado,9031
8021,Conejos County,Colorado,8277
8023,Costilla County,Colorado,3518
8025,Crowley County,Colorado,5322
8027,Custer County,Colorado,4285
8029,Delta County,Colorado,30483
8031,"Denver, City and County of[12]",Colorado,649495
8033,Dolores County,Colorado,2029
8035,Douglas County,Colorado,305963
8037,Eagle County,Colorado,52460
8039,Elbert County,Colorado,23733
8041,El Paso County,Colorado,655044
8043,Fremont County,Colorado,46451
8045,Garfield County,Colorado,57302
8047,Gilpin County,Colorado,5601
8049,Grand County,Colorado,14289
8051,Gunnison County,Colorado,15507
8053,Hinsdale County,Colorado,813
8055,Huerfano County,Colorado,6519
8057,Jackson County,Colorado,1365
8059,Jefferson County,Colorado,551798
8061,Kiowa County,Colorado,1423
8063,Kit Carson County,Colorado,8037
8065,Lake County,Colorado,7306
8067,La Plata County,Colorado,53284
8069,Larimer County,Colorado,315988
8071,Las Animas County,Colorado,14446
8073,Lincoln County,Colorado,5430
8075,Logan County,Colorado,22450
8077,Mesa County,Colorado,147554
8079,Mineral County,Colorado,721
8081,Moffat County,Colorado,13103
8083,Montezuma County,Colorado,25642
8085,Montrose County,Colorado,40713
